list-d-none,2,32,1,192,197792,1030
list-d-none,4,8,1,96,311902,3248
list-d-none,8,1,1,24,467545,19481
list-d-none,8,2,1,48,378796,7891
list-d-none,8,4,1,96,408881,4259
list-d-none,8,8,1,192,301087,1568
list-d-none,12,1,1,36,314773,8743
list-d-none,12,2,1,72,324096,4501
list-d-none,12,4,1,144,320918,2228
list-d-none,12,8,1,288,512562,1779
list-d-none,12,16,1,576,454286,788
list-il-none,2,1,1,6,66231,11038
list-il-none,2,2,1,12,74479,6206
list-il-none,2,4,1,24,75844,3160
list-il-none,2,8,1,48,94993,1979
list-il-none,2,16,1,96,181612,1891
list-il-none,4,1,1,12,158024,13168
list-il-none,4,2,1,24,171666,7152
list-il-none,4,4,1,48,247438,5154
list-il-none,4,16,1,192,522999,2723
list-il-none,8,1,1,24,379401,15808
list-il-none,8,2,1,48,247306,5152
list-il-none,8,4,1,96,383873,3998
list-il-none,8,16,1,384,1957075,5096
list-il-none,12,1,1,36,596538,16570
list-il-none,12,2,1,72,345568,4799
list-dl-none,2,1,1,6,94872,15812
list-dl-none,2,2,1,12,118711,9892
list-dl-none,2,4,1,24,143650,5985
list-dl-none,2,8,1,48,97358,2028
list-dl-none,2,16,1,96,270143,2813
list-dl-none,2,32,1,192,502305,2616
list-dl-none,8,4,1,96,395046,4115
list-dl-none,12,1,1,36,334517,9292
list-dl-none,12,4,1,144,554056,3847
list-i-m,12,32,1,1152,3152596,2736
list-d-m,12,32,1,1152,3072008,2666
list-il-m,12,32,1,1152,14541743,12623
list-dl-m,12,32,1,1152,12222830,10610
list-i-s,12,32,1,1152,5672989,4924
list-d-s,12,32,1,1152,5169885,4487
list-il-s,12,32,1,1152,238741526,207240
list-dl-s,12,32,1,1152,100489230,87230
list-none-none,1,1000,1,3000,2901764,967
list-none-m,1,1000,1,3000,2826668,942
list-none-m,2,1000,1,6000,22565739,3760
list-none-m,4,1000,1,12000,94163747,7846
list-none-m,8,1000,1,24000,366163623,15256
list-none-m,12,1000,1,36000,847886202,23552
list-none-m,16,1000,1,48000,1877125812,39106
list-none-m,24,1000,1,72000,4481605163,62244
list-none-s,1,1000,1,3000,3733451,1244
list-none-s,2,1000,1,6000,56948711,9491
list-none-s,4,1000,1,12000,348982220,29081
list-none-s,8,1000,1,24000,4649962662,193748
list-none-s,12,1000,1,36000,5001431218,138928
list-none-s,16,1000,1,48000,28764354719,599257
list-none-s,24,1000,1,72000,93907955378,1304277
list-none-none,1,10,1,30,106695,3556
list-none-none,1,100,1,300,117795,392
list-none-none,1,1000,1,3000,2625704,875
list-none-none,1,10000,1,30000,445485203,14849
list-none-none,1,20000,1,60000,2307976369,38466
list-none-none,2,1,1,6,198292,33048
list-none-none,2,10,1,60,208202,3470
list-none-none,2,100,1,600,334643,557
list-none-none,4,1,1,12,456601,38050
list-none-none,4,10,1,120,666600,5555
list-none-none,4,100,1,1200,1113831,928
list-none-none,8,1,1,24,1295074,53961
list-none-none,8,10,1,240,319949,1333
list-none-none,8,100,1,2400,3890665,1621
list-none-none,12,1,1,36,851923,23664
list-none-none,12,10,1,360,414996,1152
list-i-none,2,1,1,6,206367,34394
list-i-none,2,2,1,12,196177,16348
list-i-none,2,4,1,24,93858,3910
list-i-none,2,16,1,96,171606,1787
list-i-none,4,1,1,12,243681,20306
list-i-none,4,2,1,24,261985,10916
list-i-none,4,4,1,48,208199,4337
list-i-none,8,1,1,24,624276,26011
list-i-none,8,2,1,48,354911,7393
list-i-none,8,8,1,192,447361,2330
list-i-none,12,1,1,36,399995,11110
list-i-none,12,2,1,72,342832,4761
list-i-none,12,4,1,144,333047,2312
list-i-none,12,8,1,288,369178,1281
list-d-none,2,1,1,6,63609,10601
list-d-none,2,2,1,12,118407,9867
list-d-none,2,8,1,48,105487,2197
list-d-none,2,16,1,96,169605,1766
list-d-none,2,32,1,192,100670,524
list-d-none,4,1,1,12,120411,10034
list-d-none,4,2,1,24,122378,5099
list-d-none,4,8,1,96,528994,5510
list-d-none,4,16,1,192,239821,1249
list-d-none,8,1,1,24,357669,14902
list-d-none,8,2,1,48,223444,4655
list-d-none,8,4,1,96,226954,2364
list-d-none,8,8,1,192,384131,2000
list-d-none,12,1,1,36,320401,8900
list-d-none,12,2,1,72,317906,4415
list-d-none,12,4,1,144,325890,2263
list-d-none,12,8,1,288,375008,1302
list-d-none,12,16,1,576,447447,776
list-il-none,2,1,1,6,115786,19297
list-il-none,2,2,1,12,70837,5903
list-il-none,2,4,1,24,138767,5781
list-il-none,2,16,1,96,191872,1998
list-il-none,2,32,1,192,531729,2769
list-il-none,4,1,1,12,164146,13678
list-il-none,4,2,1,24,325518,13563
list-il-none,4,4,1,48,397597,8283
list-il-none,4,16,1,192,603253,3141
list-il-none,8,1,1,24,230801,9616
list-il-none,8,2,1,48,237789,4953
list-il-none,8,4,1,96,299080,3115
list-il-none,8,16,1,384,1554832,4049
list-il-none,12,1,1,36,759305,21091
list-il-none,12,2,1,72,331640,4606
list-il-none,12,4,1,144,421372,2926
list-il-none,12,16,1,576,3062850,5317
list-dl-none,2,1,1,6,94268,15711
list-dl-none,2,2,1,12,133057,11088
list-dl-none,2,4,1,24,91771,3823
list-dl-none,2,16,1,96,205613,2141
list-dl-none,2,32,1,192,563992,2937
list-dl-none,4,1,1,12,212515,17709
list-dl-none,4,2,1,24,184995,7708
list-dl-none,4,8,1,96,265630,2766
list-dl-none,4,16,1,192,611822,3186
